staff_KEY,update__staff_KEY,update_date_utc,staff_id,description,user_name,first_name,middle_name,last_name,social_security_number,comments,date_hired,date_left,date_education_met,date_exam_passed,date_experience_met,date_certified,certification_number,staff_status_KEY,staff_level_KEY,office_KEY,department_KEY,supervisor__staff_KEY,contact_KEY,create_date_utc,staff_id_sortable,department__description,office_id,office__description,staff__email
1,61,10/10/2023,3131AC,"Craig, Angelina",3131AC,Angelina,J,Craig,,,02/23/1983,09/29/2023,,,,,,2,16,1,3,71,312,04/02/2013,Z00000003131AC                            g,Payroll,IDMV,Mount Vista,acraig@company.com
2,61,12/22/2023,3590DL,"Lamb, Damian",3590DL,Damian,,Lamb,,,12/03/2012,12/15/2023,,,,,,2,16,3,1,78,340,04/02/2013,Z00000003590DL                            g,Client Accounting,ORPB,Pacifica Bluffs,dlamb@company.com
3,61,07/15/2020,4686CD,"Dennis, Carol",4686CD,Carol,M,Dennis,,,07/16/2012,08/31/2015,,,,,,2,16,2,,,383,05/03/2013,Z00000004686CD                            g,,WACL,Crystal Lake,
4,61,09/02/2021,2335ST,"Todd, Salma",2335ST,Salma,L,Todd,,,10/06/2014,10/19/2020,,,,,,2,16,1,1,73,236,09/30/2014,Z00000002335ST                            g,Client Accounting,IDMV,Mount Vista,stodd@company.com
5,61,07/15/2020,2222RK,"Krueger, Rita",2222RK,Rita,,Krueger,,,01/05/2015,04/15/2015,,,,,,2,16,1,,,245,12/08/2014,Z00000002222RK                            g,,IDMV,Mount Vista,rkrueger@company.com
6,61,07/15/2020,4874HP,"Potts, Homer",4874HP,Homer,,Potts,,,01/05/2015,04/15/2015,,,,,,2,16,1,,,227,12/08/2014,Z00000004874HP                            g,,IDMV,Mount Vista,hpotts@company.com
7,61,07/15/2020,2020LH,"Hopkins, Lewys",2020LH,Lewys,,Hopkins,,,01/15/2015,04/30/2016,,,,,,2,16,1,,,246,02/12/2015,Z00000002020LH                            g,,IDMV,Mount Vista,
8,61,07/15/2020,2254BM,"Mcbride, Bonnie",2254BM,Bonnie,D,Mcbride,,,01/04/2016,04/19/2016,,,,,,2,16,1,,,255,11/30/2015,Z00000002254BM                            g,,IDMV,Mount Vista,
9,61,09/02/2021,3556JF,"Fitzpatrick, Jonas",3556JF,Jonas,S,Fitzpatrick,,,01/25/2016,12/15/2017,,,,,,2,16,1,,,372,01/18/2016,Z00000003556JF                            g,,IDMV,Mount Vista,
10,61,01/02/2024,2530GP,"Pham, Guy",2530GP,Guy,E,Pham,,,09/18/2016,12/15/2023,,,,,,2,16,1,3,71,306,09/14/2016,Z00000002530GP                            g,Payroll,IDMV,Mount Vista,gpham@company.com
11,61,09/11/2020,3752FN,"Nolan, Frazer",3752FN,Frazer,L,Nolan,,,08/12/2018,01/03/2020,,,,,,2,16,1,2,,328,12/21/2016,Z00000003752FN                            g,Tax,IDMV,Mount Vista,
12,61,06/16/2023,3170MW,"Warren, Mckenzie",3170MW,Mckenzie,A,Warren,,,01/09/2017,10/20/2020,,,,,,2,16,1,1,73,367,12/21/2016,Z00000003170MW                            g,Client Accounting,IDMV,Mount Vista,
13,61,07/15/2020,3793AC,"Clarke, Ava-Rose",3793AC,Ava-Rose,K,Clarke,,,01/07/2018,04/30/2018,,,,,,2,16,1,,,322,01/04/2018,Z00000003793AC                            g,,IDMV,Mount Vista,aclarke@company.com
14,61,04/29/2023,4889PC,"Camacho, Phyllis",4889PC,Phyllis,J,Camacho,,,12/09/2018,05/21/2020,,,,,,2,16,1,3,,45,12/05/2018,Z00000004889PC                            g,Payroll,IDMV,Mount Vista,
