task_KEY,update__staff_KEY,project_KEY,project__project_number,project__description,project__priority_KEY,project_template__project_template_id,project_template__project_template_id_sortable,engagement__client_KEY,client__client_id,client__client_id_sortable,client__description,engagement_KEY,completion_order,task_order_description,activity_KEY,activity__activity_id,activity__activity_id_sortable,activity__description,activity__activity_method_KEY,staff_KEY,staff__staff_id,staff__staff_id_sortable,staff__description,tracking_description_KEY,tracking_description__description,budgeted_hours,budgeted_hours_variance,is_over_budgeted_hours,stored_budgeted_amount,calculated_budgeted_amount,target_start_date,target_complete_date,actual_start_date,actual_complete_date,target,completion_event,comments,task_template_KEY,solution_type_name,completion_event_recorded_date_utc,task_number,project_template_KEY,posted_actual_hours,posted_actual_amount,live_actual_hours,live_actual_amount,remaining_hours_adjustment,remaining_hours_adjustment_count,remaining_hours,has_remaining_hours_entries,schedule_item_KEY,ready,assigned_staff_list,assigned_staff_id_list,budgeted_amount_is_calculated,description,budgeted_amount,budgeted_amount_variance,is_over_budgeted_amount
1,61,109,10109,Taxation,999,TAXAMENDTR,TAXAMENDTR,21,30804892500,30804892500                              `,InsightfulAccounts,34,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,59,3310EM,3310EM,"Moran, Eric",999,Completed,0.25,-1,True,42.5,42.5,44651,44651,44642,44963,,,,12,2021 UltraTax CS,44627.93593,391629,57,1.25,253.75,1.25,253.75,0,0,-1,False,748332,False,"Moran, Eric",3310EM,True,Review,42.5,-211.25,True
2,61,112,10112,Data Analysis,999,BV,BV,14,29405385000,29405385000                              `,VistaVogue Outlets,79,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,10,-11,True,1500,1500,42999,42999,42999,43139,,,,40,Other,42999.69892,155128,246,21,3400,21,3400,0,0,-11,False,323292,False,"Levy, Leroy",2994LL,True,Prepare,1500,-1900,True
3,61,163,10163,Accounting,999,ACCOUNTING,ACCOUNTING,15,22633971000,22633971000                              `,EcoYield Solutions,85,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,5,4,False,700,700,43830,43830,43915,44012,,,,5,Creative Solutions Accounting,43822.69515,256598,81,1,75,1,75,0,0,4,False,542406,False,"Murphy, Asia",4194AM,True,Prepare,700,625,False
4,61,109,10109,Taxation,999,TAXAMENDTR,TAXAMENDTR,21,30804892500,30804892500                              `,InsightfulAccounts,34,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,59,3310EM,3310EM,"Moran, Eric",999,Completed,1,0.45,False,170,170,44651,44651,44643,44963,,,,11,2021 UltraTax CS,44627.93593,391628,57,0.55,93.5,0.55,93.5,0,0,0.45,False,748331,False,"Moran, Eric",3310EM,True,Prepare,170,76.5,False
5,61,102,10102,Taxation,999,TAXAMENDTR,TAXAMENDTR,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,1,0.5,False,180,180,42233,42233,42217,42409,,,,11,2013 UltraTax CS,42214.60269,83201,57,0.5,87.5,0.5,87.5,0,0,0.5,False,158267,False,"Beasley, Anya",4193AB,True,Prepare,180,92.5,False
6,61,109,10109,Taxation,999,TAXAMENDTR,TAXAMENDTR,21,30804892500,30804892500                              `,InsightfulAccounts,34,3,3: Other,41,OTHER,OTHER,Other Activity,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.25,-0.25,True,87.5,87.5,44651,44651,44646,44963,,,,13,2021 UltraTax CS,44627.93593,391630,57,0.5,175,0.5,175,0,0,-0.25,False,748333,False,"Cook, Milo",3321MC,True,Other,87.5,-87.5,True
7,61,251,10251,Taxation,999,1065,1065,4,27956983500,27956983500                              `,WealthWave Advisors,77,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,94,4081OL,4081OL,"Lowe, Otis",999,Completed,3,0.5,False,390,390,42109,42109,42016,42367,,,,14,2013 UltraTax CS,42004.43385,60018,59,2.5,325,2.5,325,0,0,0.5,False,111862,False,"Lowe, Otis",4081OL,True,Prepare,390,65,False
8,61,273,10273,Taxation,999,1065,1065,17,20971824000,20971824000                              `,FarmForward Innovations,24,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",999,Completed,3,-1.77,True,450,450,44270,44270,44222,44575,,,,14,2019 UltraTax CS,44135.36543,286052,59,4.77,607,4.77,607,0,0,-1.77,False,597109,False,"Heath, Luis",4380LH,True,Prepare,450,-157,True
9,61,219,10219,Taxation,999,1065F,1065F,23,25616209500,25616209500                              `,BrightFutures Finance,84,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,57,3373NR,3373NR,"Rios, Nate",999,Completed,0.5,-11.5,True,90,90,44256,44256,44253,44575,,,,38,2019 UltraTax CS,44137.0591,287392,237,12,2160,12,2160,0,0,-11.5,False,599021,False,"Rios, Nate",3373NR,True,Review,90,-2070,True
10,61,166,10166,Accounting,999,ACCOUNTING,ACCOUNTING,1,38684554500,38684554500                              `,LedgerLogic Accounting,93,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,94,4081OL,4081OL,"Lowe, Otis",999,Completed,5,4.75,False,850,850,44196,44196,44250,44561,,,,5,Creative Solutions Accounting,43841.37769,258227,81,0.25,41.25,0.25,41.25,0,0,4.75,False,544860,False,"Lowe, Otis",4081OL,True,Prepare,850,808.75,False
