contact_email_KEY,update__staff_KEY,update_date_utc,contact_KEY,contact_email_type_KEY,email,create_date_utc,create__changeset_KEY,update__changeset_KEY,display_as
1,61,43111.70493,343,1,tmcgrath@yahoo.com,38332.8962,315,4041979,"Mcgrath, Tamsin(tmcgrath@yahoo.com)"
2,61,43111.70748,340,1,dlamb@msn.com,38332.8962,63397,4041988,"Lamb, Damian(dlamb@msn.com)"
3,61,44886.78491,309,1,amurphy@hotmail.com,38332.8962,63414,8704375,"Murphy, Asia(amurphy@hotmail.com)"
4,62,43103.70193,362,1,crichards@msn.com,38332.8962,303452,4015607,"Richards, Cruz(crichards@msn.com)"
5,61,41429.58561,214,1,mcolon@gmail.com,38332.8962,112731,112731,"Colon, Malachi(mcolon@gmail.com)"
6,61,45105.86744,218,1,aphelps@gmail.com,38332.8962,418345,9691257,"Phelps, Adele(aphelps@gmail.com)"
7,61,43440.66683,110,1,kkramer@hotmail.com,38332.8962,1032454,4790995,"Kramer, Kabir(kkramer@hotmail.com)"
8,61,41366.65877,323,1,eriley@yahoo.com,38332.8962,163,163,"Riley, Evangeline(eriley@yahoo.com)"
9,61,41366.65878,312,1,acraig@yahoo.com,38332.8962,171,171,"Craig, Angelina(acraig@yahoo.com)"
10,61,41366.65878,311,1,mnicholson@gmail.com,38332.8962,176,176,"Nicholson, Maximilian(mnicholson@gmail.com)"
11,61,41366.65878,332,1,roneill@gmail.com,38332.8962,179,179,"Oneill, Rahim(roneill@gmail.com)"
12,61,41366.65881,353,1,hmoss@gmail.com,38332.8962,191,191,"Moss, Haleema(hmoss@gmail.com)"
13,61,41366.65897,316,1,igentry@yahoo.com,38332.8962,323,323,"Gentry, Isobel(igentry@yahoo.com)"
14,61,41366.659,318,1,olowe@msn.com,38332.8962,355,355,"Lowe, Otis(olowe@msn.com)"
15,61,41394.79674,356,1,rmccoy@gmail.com,38332.8962,63417,63417,"Mccoy, Ridwan(rmccoy@gmail.com)"
16,61,41394.79688,317,1,slozano@hotmail.com,38332.8962,63419,63419,"Lozano, Sinead(slozano@hotmail.com)"
17,61,41394.79759,355,1,abeasley@msn.com,38332.8962,63424,63424,"Beasley, Anya(abeasley@msn.com)"
18,61,41394.79906,333,1,lclark@yahoo.com,38332.8962,63433,63433,"Clark, Lucia(lclark@yahoo.com)"
19,61,45239.92163,37,1,staylor@gmail.com,42338.98366,2239146,10122698,"Taylor, Stevie(staylor@gmail.com)"
20,61,44382.61554,140,1,agillespie@hotmail.com,44382.61554,7201903,7201903,"Gillespie, Annika(agillespie@hotmail.com)"
21,61,44510.88453,270,1,ctanner@msn.com,44510.88453,7499003,7499003,"Tanner, Cynthia(ctanner@msn.com)"
22,61,44543.85213,98,1,lbaker@yahoo.com,44543.85213,7566519,7566519,"Baker, Lennon(lbaker@yahoo.com)"
23,61,44557.72089,199,1,jbonner@hotmail.com,44557.72089,7601636,7601636,"Bonner, Juanita(jbonner@hotmail.com)"
24,61,44557.73374,167,1,kpetersen@yahoo.com,44557.73374,7601708,7601708,"Petersen, Keisha(kpetersen@yahoo.com)"
25,61,44557.91854,44,1,flester@gmail.com,44557.91854,7602920,7602920,"Lester, Floyd(flester@gmail.com)"
26,61,44557.93291,200,1,dsoto@gmail.com,44557.93291,7602981,7602981,"Soto, Demi-Leigh(dsoto@gmail.com)"
27,61,44557.94007,100,1,jmorrow@hotmail.com,44557.94007,7603026,7603026,"Morrow, Jaydon(jmorrow@hotmail.com)"
28,61,44557.94007,100,2,jmorrow123@gmail.com,44557.94007,7603026,7603026,"Morrow, Jaydon(jmorrow123@gmail.com)"
29,61,44557.94874,63,1,cmccarthy@hotmail.com,44557.94874,7603081,7603081,"Mccarthy, Cara(cmccarthy@hotmail.com)"
30,61,44557.96499,101,1,lrobertson@gmail.com,44557.96499,7603162,7603162,"Robertson, Lula(lrobertson@gmail.com)"
31,61,44558.04219,102,1,mweaver@msn.com,44558.04219,7603473,7603473,"Weaver, Mathew(mweaver@msn.com)"
32,61,44558.04831,168,1,zharris@yahoo.com,44558.04831,7603478,7603478,"Harris, Zohaib(zharris@yahoo.com)"
33,61,44558.0669,153,1,ebean@hotmail.com,44558.0669,7603516,7603516,"Bean, Elmer(ebean@hotmail.com)"
34,61,44558.08069,124,1,dtaylor@gmail.com,44558.08069,7603524,7603524,"Taylor, Diane(dtaylor@gmail.com)"
35,61,44575.74207,103,1,ablankenship@msn.com,44575.74207,7647841,7647841,"Blankenship, Aimee(ablankenship@msn.com)"
36,61,44575.8155,146,1,aphillips@yahoo.com,44575.8155,7648632,7648632,"Phillips, Amanda(aphillips@yahoo.com)"
37,61,44580.58435,66,1,sconnolly@msn.com,44580.58435,7660984,7660984,"Connolly, Stacey(sconnolly@msn.com)"
38,61,44606.90891,53,1,kslater@msn.com,44606.90891,7772623,7772623,"Slater, Karim(kslater@msn.com)"
39,61,44620.74035,150,1,ewhitehead@gmail.com,44620.74035,7835792,7835792,"Whitehead, Edie(ewhitehead@gmail.com)"
40,61,44656.82878,196,1,fmercado@yahoo.com,44656.82878,8033485,8033485,"Mercado, Fraser(fmercado@yahoo.com)"
41,61,44659.65098,69,1,ghatfield@hotmail.com,44659.65098,8057198,8057198,"Hatfield, George(ghatfield@hotmail.com)"
42,61,44755.55554,104,1,jharrington@yahoo.com,44755.55554,8330014,8330014,"Harrington, John(jharrington@yahoo.com)"
43,61,44760.86478,105,1,jbrooks@msn.com,44760.86478,8341078,8341078,"Brooks, Janet(jbrooks@msn.com)"
44,61,44762.86966,160,1,lharrison@gmail.com,44762.86966,8346993,8346993,"Harrison, Lennox(lharrison@gmail.com)"
45,61,44796.78086,84,1,cchandler@hotmail.com,44796.78086,8433286,8433286,"Chandler, Cain(cchandler@hotmail.com)"
46,61,44811.77714,346,1,hdillon@hotmail.com,44811.77714,8471824,8471824,"Dillon, Hugh(hdillon@hotmail.com)"
47,61,44811.77808,371,1,jhartley@yahoo.com,44811.77808,8471830,8471830,"Hartley, Jakub(jhartley@yahoo.com)"
48,61,44823.71873,194,1,mbeasley@hotmail.com,44823.71873,8524760,8524760,"Beasley, Maison(mbeasley@hotmail.com)"
49,61,44834.61446,85,1,bolson@yahoo.com,44834.61446,8555272,8555272,"Olson, Bushra(bolson@yahoo.com)"
50,61,44894.6622,164,1,cfischer@gmail.com,44894.6622,8715572,8715572,"Fischer, Conrad(cfischer@gmail.com)"
51,61,44894.66891,269,1,fdorsey@msn.com,44894.66891,8715604,8715604,"Dorsey, Freddie(fdorsey@msn.com)"
52,61,44894.69688,73,1,akoch@gmail.com,44894.69688,8715883,8715883,"Koch, Amin(akoch@gmail.com)"
53,61,44917.69527,127,1,kterry@msn.com,44917.69527,8826058,8826058,"Terry, Katrina(kterry@msn.com)"
54,61,44917.83255,165,1,lrose@yahoo.com,44917.83255,8827220,8827220,"Rose, Laila(lrose@yahoo.com)"
55,61,44917.8508,166,1,lholloway@msn.com,44917.8508,8827286,8827286,"Holloway, Lorenzo(lholloway@msn.com)"
56,61,44917.88233,197,1,zmurray@hotmail.com,44917.88233,8827488,8827488,"Murray, Zuzanna(zmurray@hotmail.com)"
57,61,44918.58191,241,1,aelliott@gmail.com,44918.58191,8828538,8828538,"Elliott, Alisa(aelliott@gmail.com)"
58,61,44922.72134,208,1,arobertson@yahoo.com,44922.72134,8830894,8830894,"Robertson, Anne(arobertson@yahoo.com)"
59,61,44925.62514,128,1,kcalhoun@msn.com,44925.62514,8840690,8840690,"Calhoun, Kelly(kcalhoun@msn.com)"
60,61,44953.00622,77,1,mosborn@gmail.com,44953.00622,8935175,8935175,"Osborn, Minnie(mosborn@gmail.com)"
61,61,45041.66935,89,1,againes@hotmail.com,45041.66935,9496491,9496491,"Gaines, Ajay(againes@hotmail.com)"
62,61,45099.73234,178,1,fknight@msn.com,45099.73234,9680953,9680953,"Knight, Finnley(fknight@msn.com)"
63,61,45118.57914,170,1,sromero@yahoo.com,45118.57914,9717868,9717868,"Romero, Sulayman(sromero@yahoo.com)"
64,61,45118.62449,107,1,pdale@hotmail.com,45118.62449,9718150,9718150,"Dale, Patricia(pdale@hotmail.com)"
65,61,45202.92002,132,1,radams@gmail.com,45202.92002,9987481,9987481,"Adams, Rhiannon(radams@gmail.com)"
66,61,45279.74767,192,1,hleonard@msn.com,45279.74767,10244582,10244582,"Leonard, Hazel(hleonard@msn.com)"
67,61,45288.75837,206,1,hparker@hotmail.com,45288.75837,10264447,10264447,"Parker, Herman(hparker@hotmail.com)"
68,61,45288.77638,95,1,jgomez@hotmail.com,45288.77638,10264619,10264619,"Gomez, Jacqueline(jgomez@hotmail.com)"
69,61,45288.78439,193,1,mmcknight@msn.com,45288.78439,10264856,10264856,"Mcknight, Michael(mmcknight@msn.com)"
70,61,45288.82851,181,1,aboyd@yahoo.com,45288.82851,10265249,10265249,"Boyd, Annabel(aboyd@yahoo.com)"
71,61,45288.85249,202,1,vsnyder@yahoo.com,45288.85249,10265500,10265500,"Snyder, Violet(vsnyder@yahoo.com)"
72,61,41921.41184,236,1,stodd@msn.com,41912.65005,1210453,1229672,"Todd, Salma(stodd@msn.com)"
