contact_KEY,update__staff_KEY,update_date_utc,name,company,title,salutation,url,phone_position,address_position,email_position,primary__contact_phone_type_KEY,primary__contact_address_type_KEY,mailing__contact_address_type_KEY,contact_type_KEY,contact_type__description,file_as,contact_guid,primary__contact_email_type_KEY,contact_id,contact_id_sortable,description,contact_status_KEY,client_KEY,staff_KEY,office_KEY,staff__office_KEY,client__office_KEY,portal_user_KEY,primary__contact_address__city,primary__contact_address__state_abbreviation,primary__contact_address__postal_code,mailing__contact_address__city,mailing__contact_address__state_abbreviation,mailing__contact_address__postal_code,is_primary_contact,is_preferred_contact,is_billing_contact,is_additional_contact,preferred_locale,time_zone_KEY,digita_entityid,digita_metadata
1,61,44748.96326,PeakPinnacle Bank,,,,,,,,1,1,1,1,Client,PeakPinnacle Bank,81317043398,1,50021239549,50021239549                              `,PeakPinnacle Bank,1,25,,,,1,,Frostpeak,ID,84750,Frostpeak,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
2,61,43822.77654,EcoYield Solutions,,,,,,,,1,1,1,1,Client,EcoYield Solutions,65414375582,1,71134502518,71134502518                              `,EcoYield Solutions,1,15,,,,1,,Frostpeak,ID,84750,Frostpeak,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
3,61,43878.93571,BeaconBridge Banking,,,,,,,,1,1,1,1,Client,BeaconBridge Banking,91894479621,1,87638798864,87638798864                              `,BeaconBridge Banking,1,18,,,,1,,Mount Vista,ID,83310,Mount Vista,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
4,61,43878.96889,BrightHorizon Enterprises,,,,,,,,1,1,1,1,Client,BrightHorizon Enterprises,15649957497,1,24675881194,24675881194                              `,BrightHorizon Enterprises,1,19,,,,1,,Mount Vista,ID,83310,Mount Vista,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
5,61,44608.04677,InfinityItems Retail,,,,,,,,1,1,1,1,Client,InfinityItems Retail,22202270998,1,84072097492,84072097492                              `,InfinityItems Retail,1,22,,,,1,,Emerald Meadows,ID,84070,Emerald Meadows,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
6,61,43514.87541,BrightFutures Finance,,,,,,,,1,1,1,1,Client,BrightFutures Finance,70099658518,1,13246586678,13246586678                              `,BrightFutures Finance,1,23,,,,3,,Pacifica Bluffs,OR,83420,Pacifica Bluffs,OR,83420,TRUE,TRUE,TRUE,FALSE,en-US,0,,
7,61,45013.78977,BalanceBeam Financials,,,,,,,,1,1,1,1,Client,BalanceBeam Financials,74692235601,1,36709121033,36709121033                              `,BalanceBeam Financials,1,27,,,,1,,Frostpeak,ID,84750,Frostpeak,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
8,108,43838.7748,FarmForward Innovations,,,,,,,,1,1,1,1,Client,FarmForward Innovations,46400130821,1,71012721973,71012721973                              `,FarmForward Innovations,1,17,,,,1,,Emerald Meadows,ID,84070,Emerald Meadows,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
9,108,43838.71259,ClearCut Calculations,,,,,,,,1,1,1,1,Client,ClearCut Calculations,45004440657,1,16664823912,16664823912                              `,ClearCut Calculations,1,16,,,,1,,Emerald Meadows,ID,84070,Emerald Meadows,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
10,50,42454.68726,UrbanTrend Retailers,,,,,,,,1,1,1,1,Client,UrbanTrend Retailers,11770139653,1,83911457472,83911457472                              `,UrbanTrend Retailers,1,8,,,,2,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
11,61,44242.9769,FreshFinds Marketplace,,,,,,,,1,1,1,1,Client,FreshFinds Marketplace,94979682915,1,62121095415,62121095415                              `,FreshFinds Marketplace,1,9,,,,3,,Pacifica Bluffs,OR,83420,Pacifica Bluffs,OR,83420,TRUE,TRUE,TRUE,FALSE,en-US,0,,
12,61,43510.88281,InsightfulAccounts,,,,,,,,1,1,1,1,Client,InsightfulAccounts,68278716655,1,59460307067,59460307067                              `,InsightfulAccounts,1,21,,,,3,,,,,,,,TRUE,TRUE,TRUE,FALSE,en-US,0,,
13,61,42277.65509,TrustTide Banking,,,,,,,,1,1,1,1,Client,TrustTide Banking,94836077585,1,78814125750,78814125750                              `,TrustTide Banking,1,11,,,,2,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
14,61,45146.91933,GreenSprout Ventures,,,,,1;2;7;5;4;5;6;,,,1,1,1,1,Client,GreenSprout Ventures,63760762588,1,36360849289,36360849289                              `,GreenSprout Ventures,1,20,,,,3,,Pacifica Bluffs,OR,83420,Pacifica Bluffs,OR,83420,TRUE,TRUE,TRUE,FALSE,en-US,0,,
15,102,43848.88947,WealthWave Advisors,,,,,1;2;7;3;4;,,,1,1,1,1,Client,WealthWave Advisors,51396921295,1,26452983376,26452983376                              `,WealthWave Advisors,1,4,,,,1,,Whispering Pines,ID,84660,Whispering Pines,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
16,61,44917.93413,LedgerLogic Accounting,,,,,7;5;4;3;4;5;6;,,,1,1,1,1,Client,LedgerLogic Accounting,23088193765,1,72628013453,72628013453                              `,LedgerLogic Accounting,1,1,,,,1,,Whispering Pines,ID,84660,Whispering Pines,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
17,61,44469.64234,SeedlingSuccess Agritech,,,,,1;7;2;5;4;5;6;,,2;,1,1,1,1,Client,SeedlingSuccess Agritech,61490475805,1,99000530415,99000530415                              `,SeedlingSuccess Agritech,1,3,,,,1,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
18,61,44468.92795,HarvestHive AgriBusiness,,,,,1;2;3;5;5;6;7;,,,1,1,1,1,Client,HarvestHive AgriBusiness,53888415090,1,72871386173,72871386173                              `,HarvestHive AgriBusiness,1,7,,,,1,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
19,61,43251.62662,SummitStone Financial,,,,,1;2;4;5;6;3;7;,,,1,1,1,1,Client,SummitStone Financial,26000398246,1,82936241162,82936241162                              `,SummitStone Financial,1,10,,,,1,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
20,61,44796.63464,NextGen Wealth Management,,,,,1;2;4;5;6;3;7;,,,1,1,1,1,Client,NextGen Wealth Management,24341572582,1,14549923459,14549923459                              `,NextGen Wealth Management,1,24,,,,1,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
21,61,44469.65127,HorizonBank Corp,,,,,1;2;3;4;5;,,,1,1,1,1,Client,HorizonBank Corp,30279960570,1,55289528268,55289528268                              `,HorizonBank Corp,1,5,,,,1,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
22,61,44469.62926,MarketMingle Stores,,,,,1;2;3;4;5;6;7;,,,1,1,1,1,Client,MarketMingle Stores,41156615280,1,63055546466,63055546466                              `,MarketMingle Stores,1,6,,,,1,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
25,61,45117.68185,"Jimenez, Peggy",,,,,,,2;,1,1,1,2,Staff,"Jimenez, Peggy",54443842772,1,64736839030,64736839030                              `,"Jimenez, Peggy",1,,77,,1,,,Emerald Meadows,ID,83310,Emerald Meadows,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
28,61,45021.78222,"Tran, Osian",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Tran, Osian",28873375139,1,51960182497,51960182497                              `,"Tran, Osian",1,,104,,1,,,Whispering Pines,ID,84070,Whispering Pines,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
