project_KEY,update__staff_KEY,project_number,description,long_description,engagement_KEY,engagement_template__engagement_template_id,engagement_template__engagement_template_id_sortable,engagement__description,engagement__client_KEY,engagement__client__client_description,engagement__client__client_id,engagement__client__client_id_sortable,engagement__engagement_template_KEY,engagement__office_KEY,priority_KEY,priority__description,priority__sort,tracking_description_KEY,tracking_description__description,responsible__staff_KEY,responsible__staff__staff_id,responsible__staff__description,assigned__staff_KEY,assigned__staff__staff_id,assigned__staff__staff_id_sortable,assigned__staff__description,department_KEY,department__department_id,target,completion_event,has_tasks,budgeted_based_on_tasks,budgeted_hours,budgeted_hours_variance,is_over_budgeted_hours,tasks_budgeted_amount,stored_budgeted_amount,calculated_budgeted_amount,percent_complete,percent_complete_is_overridden,received_date,target_start_date,target_complete_date,actual_start_date,actual_complete_date,comments,project_template_KEY,project_template__project_template_id,project_template__project_template_id_sortable,original_due_date,current_due_date,extension_number,is_extended,posted_actual_hours,posted_actual_amount,live_actual_hours,live_actual_amount,has_time_without_task,remaining_hours_adjustment,remaining_hours_adjustment_count,remaining_hours,has_remaining_hours_entries,solution_type_name,completion_event_recorded_date_utc,generate_descriptions_from_project,generate_engagement_from_project,generate_groupings_from_project,generate_assigned_from_project,generate_notes_from_project,generate_tasks_from_project,budget_generation_KEY,generate_budgeted_hours_factor,generate_budgeted_amount_factor,generate_custom_values_from_project,generate_links_from_project,recurring,schedule_item_KEY,assigned_staff_list,assigned_staff_id_list,budgeted_amount_is_calculated,staff_assignment_method_KEY,staff_qualifications__filter_KEY,is_open,extension_event,gofileroom_workflow_KEY,budgeted_amount,budgeted_amount_variance,is_over_budgeted_amount
1,61,10001,Taxation,,13,TAX,TAX,Taxation,2,StoryBook Ventures,25103704500,25103704500                              `,5,1,999,Normal,2000,999,Completed,84,4380LH,"Heath, Luis",,,,,2,Tax,,,TRUE,TRUE,3.75,3.75,FALSE,38.75,38.75,0,0,FALSE,,44561,44561,44463,44564,,208,TAXPLAN,TAXPLAN,44561,44561,0,FALSE,0,0,0,0,FALSE,0,0,3.75,FALSE,Other,44301.34309,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,679563,,,TRUE,1,,FALSE,,,38.75,38.75,FALSE
2,61,10002,Accounting,,92,ACCOUNTING,ACCOUNTING,Accounting,4,Plymouth LLC,40922701500,40922701500                              `,2,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,6,5.72,FALSE,700,700,0,0.05,FALSE,,44561,44561,44221,44221,,81,ACCOUNTING,ACCOUNTING,44561,44561,0,FALSE,0.28,0,0.28,0,FALSE,0,0,5.72,FALSE,Other,44207.31203,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,626076,,,TRUE,1,,FALSE,,,700,700,FALSE
3,61,10003,Outsourced CFO,,19,OCFO,OCFO,Outsourced CFO,6,StoryBook Ventures,22422573000,22422573000                              `,6,1,999,Normal,2000,999,Completed,75,2247RM,"Mccoy, Ridwan",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,15,4.97,FALSE,1250,1250,0,0.67,FALSE,41429,41429,41456,41429,41578,,99,COMPNODISC,COMPNODISC,41455,41455,0,FALSE,10.03,1763.5,10.03,1763.5,TRUE,0,0,4.97,FALSE,Other,41414.90513,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,TRUE,22803,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,1250,-513.5,TRUE
4,61,10004,Taxation,,16,TAX,TAX,Taxation,6,Plymouth LLC,22422573000,22422573000                              `,5,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,6,-2.1,TRUE,650,650,0,1,FALSE,,41897,41897,41645,41758,,106,1120S,1120S,41713,41897,1,TRUE,8.1,1488,8.1,1488,FALSE,0,0,-2.1,FALSE,Other,41411.97296,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,TRUE,14913,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,650,-838,TRUE
5,61,10005,Taxation,,17,TAX,TAX,Taxation,7,Treehouse Ventures,21747927000,21747927000                              `,5,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,6,-12.9,TRUE,850,850,0,1,FALSE,,41897,41897,41646,41757,,106,1120S,1120S,41713,41897,1,TRUE,18.9,3099.25,18.9,3099.25,FALSE,0,0,-12.9,FALSE,Other,41411.97094,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,TRUE,14373,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,850,-2249.25,TRUE
6,61,10006,Outsourced CFO,,19,OCFO,OCFO,Outsourced CFO,6,StoryBook Ventures,22422573000,22422573000                              `,6,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,15,-1.7,TRUE,1940,1940,0,1,FALSE,,41729,41729,41698,42004,,99,COMPNODISC,COMPNODISC,41729,41729,0,FALSE,16.7,2419.5,16.7,2419.5,TRUE,0,0,-1.7,FALSE,Other,41608.37543,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,TRUE,45247,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,1940,-479.5,TRUE
7,61,10007,Accounting,,71,ACCOUNTING,ACCOUNTING,Accounting,7,WhiteRock Holdings,21747927000,21747927000                              `,2,1,999,Normal,2000,999,Completed,75,2247RM,"Mccoy, Ridwan",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,6,5.78,FALSE,0,0,0,0.04,FALSE,,41639,41639,41577,41639,,81,ACCOUNTING,ACCOUNTING,41639,41639,0,FALSE,0.22,27.5,0.22,27.5,TRUE,0,0,5.78,FALSE,Other,41610.10101,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,45606,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,0,-27.5,TRUE
8,61,10008,Payroll,,66,PAYROLL,PAYROLL,Payroll,4,Big Three Technologies,40922701500,40922701500                              `,1,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",61,2014HM,2014HM,"Moss, Haleema",,,,,TRUE,TRUE,0,-1.25,TRUE,0,0,0,1,FALSE,,42004,42004,41822,42004,,397,PAYROMTHLY,PAYROMTHLY,42004,42004,0,FALSE,1.25,143.75,1.25,143.75,TRUE,0,0,-1.25,FALSE,Other,41857.71325,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,FALSE,67480,"Moss, Haleema",2014HM,TRUE,1,,FALSE,,,0,-143.75,TRUE
9,61,10009,Taxation,,36,TAX,TAX,Taxation,13,WhiteRock Holdings,35062011000,35062011000                              `,5,1,999,Normal,2000,999,Completed,70,3321MC,"Cook, Milo",71,4193AB,4193AB,"Beasley, Anya",,,,,TRUE,TRUE,3.75,-9.75,TRUE,580,580,0,1,FALSE,,42004,42004,41978,42004,,208,TAXPLAN,TAXPLAN,42004,42004,0,FALSE,13.5,1885,13.5,1885,FALSE,0,0,-9.75,FALSE,Other,41897.62376,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,88307,"Beasley, Anya",4193AB,TRUE,1,,FALSE,,,580,-1305,TRUE
10,61,10010,Taxation,,15,TAX,TAX,Taxation,5,Big Three Technologies,40922701500,40922701500                              `,5,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,3.75,-8.9,TRUE,750,750,0,1,FALSE,,41744,41744,41424,41758,,59,1065,1065                      g,41744,41744,0,FALSE,12.65,2221,12.65,2221,FALSE,0,0,-8.9,FALSE,Other,41411.98178,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,TRUE,16961,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,750,-1471,TRUE
